Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,3333333333333333	 198	 relu	 relu	 Adam/lr	 0.0611	 2	 300	 (Bi_LSTM;128.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;294.000000,relu);(Dropout;0.400000,);(Dense;24.600000,softmax);(Dropout;0.200000,);(Dense;2.000000,softmax)	 9	 [0.67;0.  ]	 14.158644914627075	1d7565c5-d8bc-421f-bc3c-4c9a0ead2522
0,3333333333333333	 70	 softmax	 relu	 Adam/lr	 0.0042	 2	 300	 (Bi_LSTM;116.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;272.000000,softmax);(Dropout;0.300000,);(Dense;29.700000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 11.367092847824097	ae3e401d-cd94-4f5d-b8b0-2a78cb348977
0,3333333333333333	 326	 softmax	 relu	 Adam/lr	 0.039	 2	 300	 (Bi_LSTM;285.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;33.000000,softmax);(Dropout;0.500000,);(Dense;5.900000,softmax);(Dropout;0.500000,);(Dense;2.000000,relu)	 10	 [0.67;0.  ]	 14.392604112625122	c92641f3-e63e-4de5-a1af-b3d6fea28f0d
0,5018545819280921	 323	 softmax	 softmax	 Adam/lr	 0.0489	 2	 300	 (Bi_LSTM;21.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;27.000000,softmax);(Dropout;0.200000,);(Dense;16.600000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)	 8	 [0.37;0.64]	 18.402653217315674	7aad836e-5596-4105-ad0d-bfb2f2735bc4
0,3333333333333333	 372	 softmax	 softmax	 SGD/lr	 0.0015	 2	 300	 (Bi_LSTM;137.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;206.000000,relu);(Dropout;0.200000,);(Dense;22.900000,relu);(Dropout;0.400000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.575706481933594	365e6cb0-ce8f-4ae2-957d-9ec03416f174
0,4794753874978709	 216	 relu	 softmax	 Adam/lr	 0.0316	 2	 300	 (Bi_LSTM;207.000000,relu);(Dropout;0.100000,);(Bi_LSTM;151.000000,relu);(Dropout;0.300000,);(Dense;23.200000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)	 9	 [0.33;0.63]	 14.041271924972534	ffb118f0-8be5-46c5-a0d9-b6d3803e2328
0,3333333333333333	 331	 relu	 relu	 Adam/lr	 0.0391	 2	 300	 (Bi_LSTM;153.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;57.000000,softmax);(Dropout;0.300000,);(Dense;29.800000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 8	 [0.67;0.  ]	 15.342386722564697	460cdf93-a72b-4b9b-9422-2e0567c28262
0,48216340621403914	 128	 relu	 softmax	 SGD/lr	 0.021	 2	 300	 (Bi_LSTM;56.000000,relu);(Dropout;0.200000,);(Bi_LSTM;63.000000,softmax);(Dropout;0.100000,);(Dense;7.200000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 50	 [0.37;0.59]	 35.785876989364624	7b952701-4f4f-4f82-a50a-79952b20836e
0,3333333333333333	 363	 softmax	 relu	 SGD/lr	 0.0823	 2	 300	 (Bi_LSTM;61.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;121.000000,relu);(Dropout;0.100000,);(Dense;11.900000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 15.58646821975708	67f76bec-06ee-4421-bc79-1571f5853bb3
0,5413765182186234	 278	 relu	 softmax	 Adam/lr	 0.0125	 2	 300	 (Bi_LSTM;158.000000,relu);(Dropout;0.400000,);(Bi_LSTM;20.000000,softmax);(Dropout;0.100000,);(Dense;26.800000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)	 8	 [0.46;0.63]	 15.123448848724365	9ecb66aa-9480-481d-ae1e-740b70fa295d
0,3333333333333333	 186	 relu	 relu	 Adam/lr	 0.0437	 2	 300	 (Bi_LSTM;132.000000,relu);(Dropout;0.100000,);(Bi_LSTM;176.000000,relu);(Dropout;0.200000,);(Dense;18.300000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.760077714920044	a8ea1abe-4587-42ad-ae8b-a11177cd1810
0,3485984998026056	 74	 softmax	 softmax	 Adam/lr	 0.0521	 2	 300	 (Bi_LSTM;26.000000,relu);(Dropout;0.400000,);(Bi_LSTM;111.000000,relu);(Dropout;0.200000,);(Dense;25.800000,softmax);(Dropout;0.300000,);(Dense;2.000000,relu)	 7	 [0.67;0.03]	 15.469617128372192	cd0b7c6c-f4b7-46b3-b245-0d4944e860e8
0,5014263318855852	 85	 softmax	 relu	 SGD/lr	 0.0565	 2	 300	 (Bi_LSTM;300.000000,relu);(Dropout;0.400000,);(Bi_LSTM;186.000000,softmax);(Dropout;0.200000,);(Dense;20.300000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 50	 [0.42;0.58]	 38.97617530822754	f1dad9c8-61b9-4f1f-a734-0154a7206f7c
0,3333333333333333	 472	 softmax	 relu	 SGD/lr	 0.0728	 2	 300	 (Bi_LSTM;152.000000,relu);(Dropout;0.300000,);(Bi_LSTM;270.000000,relu);(Dropout;0.400000,);(Dense;10.600000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 13.222825288772583	05230372-0e10-47ef-b7e0-0f4deed26c26
0,3333333333333333	 285	 relu	 softmax	 SGD/lr	 0.0478	 2	 300	 (Bi_LSTM;48.000000,relu);(Dropout;0.200000,);(Bi_LSTM;290.000000,relu);(Dropout;0.300000,);(Dense;21.800000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 10.709632158279419	af71f3cf-1be1-479d-b78e-4e220b776a0a
0,3333333333333333	 422	 relu	 softmax	 SGD/lr	 0.0482	 2	 300	 (Bi_LSTM;279.000000,relu);(Dropout;0.400000,);(Bi_LSTM;16.000000,softmax);(Dropout;0.100000,);(Dense;6.800000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 12	 [0.67;0.  ]	 15.232290744781494	29cbbfad-b581-4fe3-84bf-505a806e5621
0,3333333333333333	 198	 relu	 relu	 Adam/lr	 0.0198	 2	 300	 (Bi_LSTM;284.000000,relu);(Dropout;0.200000,);(Bi_LSTM;172.000000,relu);(Dropout;0.300000,);(Dense;21.500000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.294371366500854	e2225719-da61-4a94-b7f5-b737de0da56d
0,6349178565177165	 287	 relu	 relu	 SGD/lr	 0.0926	 2	 300	 (Bi_LSTM;142.000000,relu);(Dropout;0.500000,);(Bi_LSTM;221.000000,relu);(Dropout;0.500000,);(Dense;12.500000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 30	 [0.63;0.64]	 25.42097544670105	5596d2c3-f667-4ef7-96c7-3d95df6d56e3
0,3333333333333333	 112	 softmax	 softmax	 SGD/lr	 0.0087	 2	 300	 (Bi_LSTM;184.000000,relu);(Dropout;0.300000,);(Bi_LSTM;21.000000,relu);(Dropout;0.400000,);(Dense;22.200000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 13.476884126663208	04a73759-4a7f-4de6-bb54-b37b712bd021
0,3333333333333333	 379	 relu	 relu	 SGD/lr	 0.0074	 2	 300	 (Bi_LSTM;73.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;175.000000,relu);(Dropout;0.100000,);(Dense;21.300000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 10.822551250457764	cd601b9b-df5f-406a-9ec9-fe919264cf28
0,6329352608422376	 461	 softmax	 relu	 SGD/lr	 0.0187	 2	 300	 (Bi_LSTM;199.000000,softmax);(Dropout;0.500000,);(Bi_LSTM;245.000000,softmax);(Dropout;0.300000,);(Dense;15.700000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)	 50	 [0.61;0.66]	 40.1140251159668	3dbb0fc1-952d-4b8f-8430-5f1ee9f7551e
0,47870954014734435	 13	 relu	 relu	 SGD/lr	 0.0167	 2	 300	 (Bi_LSTM;263.000000,relu);(Dropout;0.400000,);(Bi_LSTM;50.000000,softmax);(Dropout;0.300000,);(Dense;23.200000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 50	 [0.35;0.61]	 37.40400958061218	97aa35fa-8704-4b22-9b63-817fe20ba460
0,4911804613297151	 148	 softmax	 relu	 Adam/lr	 0.0238	 2	 300	 (Bi_LSTM;30.000000,relu);(Dropout;0.300000,);(Bi_LSTM;221.000000,relu);(Dropout;0.300000,);(Dense;22.800000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 11	 [0.32;0.66]	 16.104936838150024	7a3fa41f-6a58-47c6-87db-bd08b3ebbd26
0,6299167312645346	 92	 relu	 softmax	 SGD/lr	 0.0813	 2	 300	 (Bi_LSTM;180.000000,relu);(Dropout;0.400000,);(Bi_LSTM;210.000000,relu);(Dropout;0.100000,);(Dense;21.500000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)	 20	 [0.62;0.64]	 21.61488437652588	14dc3593-4102-4221-9dd0-ef5e380eecb8
0,3333333333333333	 16	 softmax	 relu	 Adam/lr	 0.0945	 2	 300	 (Bi_LSTM;36.000000,relu);(Dropout;0.200000,);(Bi_LSTM;18.000000,relu);(Dropout;0.200000,);(Dense;9.200000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 13.509052753448486	fe78b89a-f51e-4714-a641-eeffd9dbe8ea
0,3827737772374451	 458	 relu	 softmax	 Adam/lr	 0.0645	 2	 300	 (Bi_LSTM;266.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;11.000000,softmax);(Dropout;0.300000,);(Dense;13.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 10	 [0.66;0.11]	 14.87778639793396	8b41fe68-1003-454b-904b-02cd1bb4dd38
0,3333333333333333	 299	 softmax	 relu	 Adam/lr	 0.0627	 2	 300	 (Bi_LSTM;138.000000,relu);(Dropout;0.400000,);(Bi_LSTM;15.000000,softmax);(Dropout;0.500000,);(Dense;5.400000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 10	 [0.67;0.  ]	 15.647881746292114	f6288b1f-60d0-45bc-99e3-29543a2cc9c2
0,3333333333333333	 441	 softmax	 softmax	 SGD/lr	 0.0263	 2	 300	 (Bi_LSTM;44.000000,softmax);(Dropout;0.200000,);(Bi_LSTM;118.000000,relu);(Dropout;0.500000,);(Dense;18.900000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 9.393945217132568	ed9b1640-2181-4516-861a-988130658dd0
0,5447267395875532	 179	 softmax	 relu	 Adam/lr	 0.0309	 2	 300	 (Bi_LSTM;126.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;42.000000,softmax);(Dropout;0.300000,);(Dense;2.300000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 12	 [0.47;0.62]	 20.297446727752686	f487d00f-d37d-4949-bc1c-9be6aa029523
0,3333333333333333	 46	 softmax	 softmax	 Adam/lr	 0.0474	 2	 300	 (Bi_LSTM;78.000000,softmax);(Dropout;0.200000,);(Bi_LSTM;257.000000,relu);(Dropout;0.100000,);(Dense;23.600000,softmax);(Dropout;0.500000,);(Dense;2.000000,relu)	 8	 [0.67;0.  ]	 12.92670726776123	3d1a3d81-e095-42c8-9c22-7286ce4eaf1f
