Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,4884492938967647", SGD/lr,0.006," (Dense;274.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",12, [0.34;0.63],2.8152730464935303,cd18b7bc-cf51-4ab9-90e5-41dfe3fcbcaa
"0,6231534519143805", SGD/lr,0.0897," (Dense;77.000000,relu);(Dropout;0.100000,);(Dense;2.000000,softmax)",9, [0.6 ;0.65],2.358605146408081,a7c37651-493a-4800-b424-3087f1386029
"0,33886494073871043", SGD/lr,0.0574," (Dense;15.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.01],2.128048181533813,87193cd8-1540-4a32-93f5-c7eaef71a0b0
"0,3333333333333333", SGD/lr,0.0393," (Dense;201.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.308697462081909,0d23c77d-eb2d-4e62-ad7f-c9074fe3dfa8
"0,3333333333333333", SGD/lr,0.0425," (Dense;216.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.317197322845459,9caee5fd-2828-4d07-866e-9c236d9f724f
"0,3333333333333333", Adam/lr,0.0351," (Dense;185.000000,relu);(Dropout;0.400000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.492870330810547,16cc772e-0626-4331-9dfa-e727f2e87eb5
"0,601010101010101", Adam/lr,0.0081," (Dense;191.000000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)",9, [0.64;0.56],2.685553550720215,d4b53347-b134-4366-a75b-9ebd04499b59
"0,3333333333333333", SGD/lr,0.0369," (Dense;215.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.345144748687744,ccd24188-bdc0-4b8f-9514-a7df6353da6c
"0,332220367278798", Adam/lr,0.0905," (Dense;205.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,relu)",10, [0.66;0.  ],2.9285612106323238,20482b16-d811-4aab-9a0c-894e5fc62faf
"0,6101585145781852", Adam/lr,0.0089," (Dense;193.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)",11, [0.58;0.64],2.9518346786499023,8d35b760-779b-48a3-a409-762bc41a89a6
